id,name,author,language,year,genre
OLP001,A Tale of Two Cities,Charles Dickens,English,1859,Historical fiction
OLP002,The Little Prince (Le Petit Prince),Antoine de Saint-Exupary,French,1943,Novella
OLP003,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,Fantasy
OLP004,And Then There Were None,Agatha Christie,English,1939,Mystery
OLP005,Dream of the Red Chamber,Cao Xueqin,Chinese,1791,Family saga
OLP006,The Hobbit,J.R.R. Tolkien,English,1937,Fantasy
OLP007,The Lion; the Witch and the Wardrobe,C.S. Lewis,English,1950,Fantasy
OLP008,She: A History of Adventure,H. Rider Haggard,English,1887,Adventure
OLP009,Vardi Wala Gunda,Ved Prakash Sharma,Hindi,1992,Detective
OLP010,The Da Vinci Code,Dan Brown,English,2003,Mystery thriller
OLP011,Harry Potter and the Chamber of Secrets,J.K. Rowling,English,1998,Fantasy
OLP012,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,English,1999,Fantasy
OLP013,Harry Potter and the Goblet of Fire,J.K. Rowling,English,2000,Fantasy
OLP014,Harry Potter and the Order of the Phoenix,J.K. Rowling,English,2003,Fantasy
OLP015,Harry Potter and the Half-Blood Prince,J.K. Rowling,English,2005,Fantasy
OLP016,Harry Potter and the Deathly Hallows,J.K. Rowling,English,2007,Fantasy
OLP017,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,Fantasy
OLP018,The Catcher in the Rye,J. D. Salinger,English,1951,Coming-of-age
OLP019,The Bridges of Madison County,Robert James Waller,English,1992,Romance
OLP020,Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,Historical fiction
OLP021,You Can Heal Your Life,Louise Hay,English,1984,Self-help
OLP022,One Hundred Years of Solitude,Gabriel Garca Marquez,Spanish,1967,Magic realism
OLP023,Lolita,Vladimir Nabokov,English,1955,Novel
OLP024,Heidi,Johanna Spyri,German,1880,Children's fiction
OLP025,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,Manual
OLP026,Anne of Green Gables,Lucy Maud Montgomery,English,1908,Children's novel
OLP027,Black Beauty,Anna Sewell,English,1877,Children's literature
OLP028,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,Historical novel
