id,name,author,language,year,genre
OLP146,Fifty Shades Darker,E.L. James,English,2012,Erotica
OLP147,Tobacco Road,Erskine Caldwell,English,1932,-
OLP148,Ronia; the Robber's Daughter,Astrid Lindgren,Swedish,1981,-
OLP149,The Cat in the Hat,Dr. Seuss,English,1957,-
OLP150,Diana: Her True Story,Andrew Morton,English,1992,-
OLP151,The Help,Kathryn Stockett,English,2009,-
OLP152,Catch-22,Joseph Heller,English,1961,-
OLP153,The Stranger (L'etranger),Albert Camus,French,1942,-
OLP154,Eye of the Needle,Ken Follett,English,1978,-
OLP155,The Lovely Bones,Alice Sebold,English,2002,-
OLP156,Wild Swans,Jung Chang,English,1992,-
OLP157,Santa Evita,Tomas Eloy Martinez,Spanish,1995,-
OLP158,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,-
OLP159,Confucius from the Heart,Yu Dan,Chinese,2006,-
OLP160,The Total Woman,Marabel Morgan,English,1974,-
OLP161,Knowledge-value Revolution,Taichi Sakaiya,Japanese,1985,-
OLP162,Problems in China's Socialist Economy,Xue Muqiao,Chinese,1979,-
OLP163,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,-
OLP164,The Dukan Diet,Pierre Dukan,French,2000,-
OLP165,The Joy of Sex,Alex Comfort,English,1972,-
OLP166,The Gospel According to Peanuts,Robert L. Short,English,1965,-
OLP167,The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,-
OLP168,Life of Pi,Yann Martel,English,2001,-
OLP169,The Front Runner,Patricia Nell Warren,English,1974,-
OLP170,The Goal,Eliyahu M. Goldratt,English,1984,-
OLP171,Fahrenheit 451,Ray Bradbury,English,1953,-
OLP172,Angela's Ashes,Frank McCourt,English,1996,-
OLP173,The Story of My Experiments with Truth,Mohandas Karamchand Gandhi,Gujarati,1929,-
OLP174,Bridget Jones's Diary,Helen Fielding,English,1996,-
